[2025-09-16 16:57:15,162] 18 root - INFO - Initiate the data ingestion
[2025-09-16 16:57:17,874] 74 root - INFO - Performed train test split on the dataframe
[2025-09-16 16:57:17,875] 75 root - INFO - Exited split_data
[2025-09-16 16:57:17,875] 79 root - INFO - Created directory Artifact\09_16_2025_16_57_07\data_ingestion\ingested
[2025-09-16 16:57:17,928] 84 root - INFO - Saved training and testing data
[2025-09-16 16:57:17,928] 20 root - INFO - Initiate the data vaingestion completedn
[2025-09-16 16:57:17,943] 26 root - INFO - Initiate the data validation
[2025-09-16 16:57:18,023] 31 root - INFO - Number of columns  2
[2025-09-16 16:57:18,024] 32 root - INFO - Dataframe has column:31
[2025-09-16 16:57:18,024] 31 root - INFO - Number of columns  2
[2025-09-16 16:57:18,033] 32 root - INFO - Dataframe has column:31
[2025-09-16 16:57:18,204] 28 root - INFO - Initiate the data validation completed
[2025-09-16 16:57:18,216] 24 root - INFO - >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Transformation <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2025-09-16 16:57:18,220] 34 root - INFO - Initiate the data transformation
[2025-09-16 16:57:18,220] 55 root - INFO - Entered initiate_data_transformation method
[2025-09-16 16:57:18,220] 57 root - INFO - Obtaining preprocessing object.
[2025-09-16 16:57:18,311] 44 root - INFO - Entered get_data_transformer_object method
[2025-09-16 16:57:18,311] 47 root - INFO - Created KNN Imputer object{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-16 16:57:18,311] 49 root - INFO - Created knn imputer object
[2025-09-16 16:57:18,329] 55 root - INFO - Entered the save_object method of MAinutils class
[2025-09-16 16:57:18,343] 59 root - INFO - Exited the save_object method of MAinutils class
[2025-09-16 16:57:18,345] 36 root - INFO - Initiate the data transformation completed
