[2025-09-17 21:36:49,588] 22 root - INFO - Initiate the data ingestion
[2025-09-17 21:36:51,637] 74 root - INFO - Performed train test split on the dataframe
[2025-09-17 21:36:51,638] 75 root - INFO - Exited split_data
[2025-09-17 21:36:51,638] 79 root - INFO - Created directory Artifact\09_17_2025_21_36_47\data_ingestion\ingested
[2025-09-17 21:36:51,683] 84 root - INFO - Saved training and testing data
[2025-09-17 21:36:51,683] 24 root - INFO - Initiate the data vaingestion completedn
[2025-09-17 21:36:51,687] 30 root - INFO - Initiate the data validation
[2025-09-17 21:36:51,733] 31 root - INFO - Number of columns  2
[2025-09-17 21:36:51,733] 32 root - INFO - Dataframe has column:31
[2025-09-17 21:36:51,733] 31 root - INFO - Number of columns  2
[2025-09-17 21:36:51,743] 32 root - INFO - Dataframe has column:31
[2025-09-17 21:36:51,858] 32 root - INFO - Initiate the data validation completed
[2025-09-17 21:36:51,858] 24 root - INFO - >>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>> Data Transformation <<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<<
[2025-09-17 21:36:51,858] 38 root - INFO - Initiate the data transformation
[2025-09-17 21:36:51,858] 55 root - INFO - Entered initiate_data_transformation method
[2025-09-17 21:36:51,858] 57 root - INFO - Obtaining preprocessing object.
[2025-09-17 21:36:51,908] 44 root - INFO - Entered get_data_transformer_object method
[2025-09-17 21:36:51,908] 47 root - INFO - Created KNN Imputer object{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-09-17 21:36:51,908] 49 root - INFO - Created knn imputer object
[2025-09-17 21:36:51,929] 57 root - INFO - Entered the save_object method of MAinutils class
[2025-09-17 21:36:51,931] 61 root - INFO - Exited the save_object method of MAinutils class
[2025-09-17 21:36:51,932] 40 root - INFO - Initiate the data transformation completed
[2025-09-17 21:36:51,932] 44 root - INFO - Initiate MOdel Training
